feature_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,pvalue
exponential_gldm_DependenceEntropy,3.9222¡À0.5968,3.7090¡À0.7451,4.1924¡À0.2357,3.7508¡À0.3492,3.7535¡À0.6664,4.3088¡À0.2410,4.0925¡À0.4108,0.006852774
wavelet_HLL_glszm_ZonePercentage,0.9658¡À0.0200,0.9610¡À0.0237,0.9649¡À0.0160,0.9616¡À0.0158,0.9693¡À0.0165,0.9760¡À0.0085,0.9717¡À0.0180,0.00696651
wavelet_HLL_gldm_DependenceNonUniformityNormalized,0.8801¡À0.0627,0.8664¡À0.0718,0.8750¡À0.0525,0.8636¡À0.0510,0.8890¡À0.0535,0.9120¡À0.0298,0.8999¡À0.0596,0.00700492
original_glszm_SizeZoneNonUniformityNormalized,0.5714¡À0.1629,0.6219¡À0.2103,0.5747¡À0.1498,0.4839¡À0.0344,0.5643¡À0.1519,0.5161¡À0.0709,0.5283¡À0.0854,0.007299252
squareroot_glszm_SizeZoneNonUniformityNormalized,0.5725¡À0.1624,0.6229¡À0.2095,0.5753¡À0.1499,0.4867¡À0.0324,0.5643¡À0.1519,0.5161¡À0.0709,0.5302¡À0.0859,0.007496082
gradient_glrlm_RunVariance,0.0202¡À0.0094,0.0226¡À0.0115,0.0204¡À0.0066,0.0200¡À0.0060,0.0206¡À0.0060,0.0153¡À0.0047,0.0174¡À0.0090,0.007551614
lbp_3D_m1_glrlm_ShortRunEmphasis,0.8730¡À0.0233,0.8671¡À0.0301,0.8739¡À0.0149,0.8726¡À0.0205,0.8707¡À0.0120,0.8773¡À0.0084,0.8820¡À0.0181,0.007614603
logarithm_glszm_SizeZoneNonUniformityNormalized,0.5724¡À0.1624,0.6228¡À0.2095,0.5745¡À0.1498,0.4867¡À0.0324,0.5643¡À0.1519,0.5161¡À0.0709,0.5302¡À0.0858,0.007680941
wavelet_HLL_glszm_LargeAreaEmphasis,1.1169¡À0.0801,1.1377¡À0.1013,1.1162¡À0.0583,1.1262¡À0.0540,1.1002¡À0.0580,1.0776¡À0.0289,1.0953¡À0.0653,0.008519084
wavelet_HLL_gldm_LargeDependenceEmphasis,1.2234¡À0.1435,1.2598¡À0.1756,1.2258¡À0.1118,1.2344¡À0.0951,1.1976¡À0.1150,1.1549¡À0.0582,1.1840¡À0.1263,0.00862281
